SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2018,1610612737,ATL,Atlanta Hawks,0021801220,2019-04-10,ATL vs. IND,L,240,134,43,103,0.417,17,41,0.415,31,38,0.816,22,39,61,29,5.0,7,17,25,-1.0
2018,1610612737,ATL,Atlanta Hawks,0021801202,2019-04-07,ATL @ MIL,L,240,107,40,100,0.4,17,45,0.378,10,19,0.526,9,39,48,25,2.0,3,11,28,-8.0
2018,1610612737,ATL,Atlanta Hawks,0021801181,2019-04-05,ATL @ ORL,L,240,113,41,94,0.436,10,39,0.256,21,31,0.677,10,28,38,21,16.0,4,14,21,-36.0
2018,1610612737,ATL,Atlanta Hawks,0021801168,2019-04-03,ATL vs. PHI,W,240,130,48,92,0.522,12,36,0.333,22,28,0.786,11,33,44,29,7.0,7,11,26,8.0
2018,1610612737,ATL,Atlanta Hawks,0021801162,2019-04-02,ATL @ SAS,L,240,111,43,94,0.457,12,34,0.353,13,20,0.65,11,32,43,26,13.0,2,11,18,-6.0
2018,1610612737,ATL,Atlanta Hawks,0021801145,2019-03-31,ATL vs. MIL,W,265,136,52,118,0.441,22,61,0.361,10,17,0.588,15,43,58,36,10.0,10,9,13,1.0
2018,1610612737,ATL,Atlanta Hawks,0021801131,2019-03-29,ATL vs. POR,L,239,98,38,94,0.404,9,38,0.237,13,14,0.929,8,33,41,20,5.0,7,10,22,-20.0
2018,1610612737,ATL,Atlanta Hawks,0021801113,2019-03-26,ATL @ NOP,W,239,130,44,97,0.454,19,51,0.373,23,26,0.885,9,32,41,30,13.0,4,16,26,10.0
2018,1610612737,ATL,Atlanta Hawks,0021801088,2019-03-23,ATL vs. PHI,W,240,129,49,106,0.462,15,47,0.319,16,21,0.762,15,34,49,28,8.0,7,12,25,2.0
2018,1610612737,ATL,Atlanta Hawks,0021801076,2019-03-21,ATL vs. UTA,W,239,117,41,87,0.471,19,40,0.475,16,23,0.696,9,34,43,26,8.0,5,16,23,3.0
2018,1610612737,ATL,Atlanta Hawks,0021801060,2019-03-19,ATL vs. HOU,L,241,105,39,84,0.464,15,40,0.375,12,15,0.8,8,37,45,30,6.0,1,19,23,-16.0
2018,1610612737,ATL,Atlanta Hawks,0021801046,2019-03-17,ATL @ ORL,L,239,91,38,91,0.418,8,35,0.229,7,10,0.7,8,42,50,20,8.0,3,18,29,-10.0
2018,1610612737,ATL,Atlanta Hawks,0021801034,2019-03-16,ATL @ BOS,L,239,120,43,100,0.43,15,40,0.375,19,24,0.792,19,31,50,27,11.0,5,17,25,-9.0
2018,1610612737,ATL,Atlanta Hawks,0021801016,2019-03-13,ATL vs. MEM,W,239,132,52,103,0.505,17,45,0.378,11,14,0.786,15,36,51,35,9.0,9,11,26,21.0
2018,1610612737,ATL,Atlanta Hawks,0021800995,2019-03-10,ATL vs. NOP,W,239,128,48,98,0.49,17,37,0.459,15,18,0.833,10,46,56,30,4.0,5,9,12,12.0
2018,1610612737,ATL,Atlanta Hawks,0021800987,2019-03-09,ATL vs. BKN,L,240,112,39,105,0.371,8,41,0.195,26,32,0.813,18,39,57,22,7.0,2,10,37,-2.0
2018,1610612737,ATL,Atlanta Hawks,0021800968,2019-03-06,ATL vs. SAS,L,240,104,36,92,0.391,13,43,0.302,19,24,0.792,11,36,47,21,8.0,2,14,18,-7.0
2018,1610612737,ATL,Atlanta Hawks,0021800953,2019-03-04,ATL @ MIA,L,240,113,38,91,0.418,17,46,0.37,20,25,0.8,16,26,42,25,9.0,2,14,21,-1.0
2018,1610612737,ATL,Atlanta Hawks,0021800946,2019-03-03,ATL @ CHI,W,239,123,42,89,0.472,21,42,0.5,18,28,0.643,11,35,46,30,10.0,5,13,18,5.0
2018,1610612737,ATL,Atlanta Hawks,0021800928,2019-03-01,ATL vs. CHI,L,341,161,61,123,0.496,22,60,0.367,17,25,0.68,9,50,59,33,11.0,8,20,34,-7.0
2018,1610612737,ATL,Atlanta Hawks,0021800912,2019-02-27,ATL vs. MIN,W,263,131,46,108,0.426,12,29,0.414,27,32,0.844,18,47,65,32,1.0,6,12,25,8.0
2018,1610612737,ATL,Atlanta Hawks,0021800903,2019-02-25,ATL @ HOU,L,239,111,39,80,0.488,17,38,0.447,16,23,0.696,10,31,41,21,6.0,6,17,24,-8.0
2018,1610612737,ATL,Atlanta Hawks,0021800883,2019-02-23,ATL vs. PHX,W,241,120,38,92,0.413,12,33,0.364,32,38,0.842,12,38,50,22,8.0,9,13,22,8.0
2018,1610612737,ATL,Atlanta Hawks,0021800877,2019-02-22,ATL vs. DET,L,240,122,43,88,0.489,20,42,0.476,16,19,0.842,10,37,47,21,6.0,4,18,24,-3.0
2018,1610612737,ATL,Atlanta Hawks,0021800865,2019-02-14,ATL vs. NYK,L,240,91,33,91,0.363,10,38,0.263,15,19,0.789,10,31,41,19,8.0,4,12,24,-15.0
2018,1610612737,ATL,Atlanta Hawks,0021800848,2019-02-12,ATL vs. LAL,W,239,117,40,92,0.435,16,42,0.381,21,26,0.808,6,41,47,29,8.0,6,20,24,4.0
2018,1610612737,ATL,Atlanta Hawks,0021800837,2019-02-10,ATL vs. ORL,L,239,108,37,80,0.463,13,32,0.406,21,25,0.84,5,28,33,27,5.0,6,11,21,-16.0
2018,1610612737,ATL,Atlanta Hawks,0021800827,2019-02-09,ATL vs. CHA,L,240,120,46,86,0.535,14,33,0.424,14,19,0.737,10,26,36,26,10.0,3,18,18,-9.0
2018,1610612737,ATL,Atlanta Hawks,0021800813,2019-02-07,ATL vs. TOR,L,239,101,36,80,0.45,16,35,0.457,13,25,0.52,8,34,42,25,5.0,3,17,25,-18.0
2018,1610612737,ATL,Atlanta Hawks,0021800791,2019-02-04,ATL @ WAS,W,240,137,46,91,0.505,20,40,0.5,25,29,0.862,14,36,50,29,7.0,2,12,22,8.0
2018,1610612737,ATL,Atlanta Hawks,0021800784,2019-02-02,ATL @ PHX,W,241,118,43,84,0.512,14,32,0.438,18,26,0.692,16,37,53,21,6.0,5,24,18,6.0
2018,1610612737,ATL,Atlanta Hawks,0021800773,2019-02-01,ATL @ UTA,L,241,112,39,98,0.398,14,46,0.304,20,24,0.833,8,32,40,23,11.0,4,11,27,-16.0
2018,1610612737,ATL,Atlanta Hawks,0021800762,2019-01-30,ATL @ SAC,L,239,113,38,86,0.442,16,46,0.348,21,25,0.84,9,27,36,24,7.0,3,20,19,-22.0
2018,1610612737,ATL,Atlanta Hawks,0021800748,2019-01-28,ATL @ LAC,W,239,123,44,87,0.506,10,34,0.294,25,29,0.862,15,29,44,28,7.0,6,17,25,5.0
2018,1610612737,ATL,Atlanta Hawks,0021800734,2019-01-26,ATL @ POR,L,241,111,42,92,0.457,12,33,0.364,15,20,0.75,9,27,36,24,9.0,7,10,27,-9.0
2018,1610612737,ATL,Atlanta Hawks,0021800712,2019-01-23,ATL @ CHI,W,242,121,45,90,0.5,15,40,0.375,16,21,0.762,16,35,51,31,11.0,2,17,20,20.0
2018,1610612737,ATL,Atlanta Hawks,0021800695,2019-01-21,ATL vs. ORL,L,241,103,39,86,0.453,9,30,0.3,16,23,0.696,9,35,44,23,5.0,3,13,24,-19.0
2018,1610612737,ATL,Atlanta Hawks,0021800683,2019-01-19,ATL vs. BOS,L,240,105,40,92,0.435,12,41,0.293,13,14,0.929,13,36,49,28,8.0,6,20,20,-8.0
2018,1610612737,ATL,Atlanta Hawks,0021800653,2019-01-15,ATL vs. OKC,W,240,142,56,90,0.622,18,37,0.486,12,16,0.75,10,34,44,36,8.0,4,18,28,16.0
2018,1610612737,ATL,Atlanta Hawks,0021800640,2019-01-13,ATL vs. MIL,L,240,114,39,96,0.406,12,38,0.316,24,30,0.8,18,36,54,19,3.0,5,24,30,-19.0
2018,1610612737,ATL,Atlanta Hawks,0021800621,2019-01-11,ATL @ PHI,W,240,123,45,81,0.556,12,25,0.48,21,27,0.778,15,29,44,27,7.0,4,21,24,2.0
2018,1610612737,ATL,Atlanta Hawks,0021800609,2019-01-09,ATL @ BKN,L,240,100,36,99,0.364,6,35,0.171,22,25,0.88,18,34,52,17,8.0,6,19,24,-16.0
2018,1610612737,ATL,Atlanta Hawks,0021800602,2019-01-08,ATL @ TOR,L,241,101,40,87,0.46,10,27,0.37,11,16,0.688,13,37,50,22,12.0,2,26,22,-3.0
2018,1610612737,ATL,Atlanta Hawks,0021800587,2019-01-06,ATL vs. MIA,W,240,106,43,91,0.473,10,24,0.417,10,13,0.769,14,45,59,25,7.0,2,17,22,24.0
2018,1610612737,ATL,Atlanta Hawks,0021800572,2019-01-04,ATL @ MIL,L,241,112,37,85,0.435,14,41,0.341,24,35,0.686,5,26,31,26,11.0,3,21,23,-32.0
2018,1610612737,ATL,Atlanta Hawks,0021800556,2019-01-02,ATL @ WAS,L,240,98,40,95,0.421,10,31,0.323,8,13,0.615,13,37,50,26,5.0,6,14,19,-16.0
2018,1610612737,ATL,Atlanta Hawks,0021800542,2018-12-31,ATL @ IND,L,240,108,41,95,0.432,13,32,0.406,13,19,0.684,21,32,53,24,8.0,5,17,23,-8.0
2018,1610612737,ATL,Atlanta Hawks,0021800529,2018-12-29,ATL vs. CLE,W,240,111,43,98,0.439,10,37,0.27,15,25,0.6,17,36,53,27,7.0,4,13,25,3.0
2018,1610612737,ATL,Atlanta Hawks,0021800522,2018-12-28,ATL @ MIN,W,265,123,47,100,0.47,16,35,0.457,13,20,0.65,17,41,58,32,10.0,6,23,33,3.0
2018,1610612737,ATL,Atlanta Hawks,0021800504,2018-12-26,ATL vs. IND,L,239,121,45,89,0.506,17,36,0.472,14,18,0.778,11,30,41,33,8.0,6,19,24,-8.0
2018,1610612737,ATL,Atlanta Hawks,0021800486,2018-12-23,ATL @ DET,W,240,98,36,91,0.396,6,23,0.261,20,25,0.8,15,39,54,24,9.0,9,16,25,3.0
2018,1610612737,ATL,Atlanta Hawks,0021800472,2018-12-21,ATL @ NYK,W,241,114,43,91,0.473,10,29,0.345,18,24,0.75,15,39,54,29,4.0,1,16,18,7.0
2018,1610612737,ATL,Atlanta Hawks,0021800452,2018-12-18,ATL vs. WAS,W,240,118,37,79,0.468,12,32,0.375,32,39,0.821,13,36,49,23,4.0,5,23,29,8.0
2018,1610612737,ATL,Atlanta Hawks,0021800436,2018-12-16,ATL @ BKN,L,241,127,47,85,0.553,14,29,0.483,19,25,0.76,8,25,33,38,9.0,5,14,22,-17.0
2018,1610612737,ATL,Atlanta Hawks,0021800420,2018-12-14,ATL @ BOS,L,240,108,36,86,0.419,16,38,0.421,20,32,0.625,16,28,44,27,10.0,5,24,19,-21.0
2018,1610612737,ATL,Atlanta Hawks,0021800412,2018-12-12,ATL @ DAL,L,240,107,43,93,0.462,11,33,0.333,10,14,0.714,16,28,44,21,7.0,2,21,30,-7.0
2018,1610612737,ATL,Atlanta Hawks,0021800380,2018-12-08,ATL vs. DEN,W,240,106,40,93,0.43,15,42,0.357,11,16,0.688,9,42,51,33,9.0,11,18,23,8.0
2018,1610612737,ATL,Atlanta Hawks,0021800357,2018-12-05,ATL vs. WAS,L,240,117,41,92,0.446,12,38,0.316,23,31,0.742,8,35,43,28,13.0,4,17,27,-14.0
2018,1610612737,ATL,Atlanta Hawks,0021800344,2018-12-03,ATL vs. GSW,L,240,111,44,90,0.489,5,26,0.192,18,24,0.75,9,26,35,23,10.0,4,18,21,-17.0
2018,1610612737,ATL,Atlanta Hawks,0021800325,2018-11-30,ATL @ OKC,L,239,109,43,96,0.448,11,36,0.306,12,20,0.6,14,28,42,26,15.0,3,21,12,-15.0
2018,1610612737,ATL,Atlanta Hawks,0021800306,2018-11-28,ATL @ CHA,L,240,94,32,93,0.344,11,44,0.25,19,22,0.864,16,38,54,20,11.0,8,19,25,-14.0
2018,1610612737,ATL,Atlanta Hawks,0021800302,2018-11-27,ATL @ MIA,W,239,115,38,80,0.475,12,31,0.387,27,32,0.844,10,36,46,22,13.0,7,24,24,2.0
2018,1610612737,ATL,Atlanta Hawks,0021800288,2018-11-25,ATL vs. CHA,W,238,124,50,94,0.532,16,39,0.41,8,11,0.727,9,32,41,34,5.0,9,15,23,1.0
2018,1610612737,ATL,Atlanta Hawks,0021800268,2018-11-23,ATL vs. BOS,L,239,96,35,81,0.432,6,35,0.171,20,29,0.69,5,35,40,22,9.0,7,20,26,-18.0
2018,1610612737,ATL,Atlanta Hawks,0021800254,2018-11-21,ATL vs. TOR,L,238,108,42,93,0.452,10,36,0.278,14,18,0.778,9,25,34,24,10.0,7,9,21,-16.0
2018,1610612737,ATL,Atlanta Hawks,0021800243,2018-11-19,ATL vs. LAC,L,242,119,45,101,0.446,12,38,0.316,17,19,0.895,16,35,51,29,6.0,6,14,38,-8.0
2018,1610612737,ATL,Atlanta Hawks,0021800226,2018-11-17,ATL @ IND,L,239,89,31,87,0.356,8,29,0.276,19,27,0.704,5,36,41,20,15.0,6,18,24,-8.0
2018,1610612737,ATL,Atlanta Hawks,0021800214,2018-11-15,ATL @ DEN,L,240,93,32,92,0.348,9,42,0.214,20,27,0.741,15,28,43,20,7.0,5,19,22,-45.0
2018,1610612737,ATL,Atlanta Hawks,0021800201,2018-11-13,ATL @ GSW,L,241,103,40,89,0.449,12,32,0.375,11,15,0.733,10,32,42,25,9.0,2,14,18,-7.0
2018,1610612737,ATL,Atlanta Hawks,0021800189,2018-11-11,ATL @ LAL,L,240,106,41,95,0.432,13,37,0.351,11,13,0.846,10,34,44,25,11.0,4,17,23,-1.0
2018,1610612737,ATL,Atlanta Hawks,0021800169,2018-11-09,ATL vs. DET,L,240,109,36,79,0.456,7,28,0.25,30,40,0.75,9,44,53,17,6.0,2,16,21,-15.0
2018,1610612737,ATL,Atlanta Hawks,0021800155,2018-11-07,ATL vs. NYK,L,240,107,37,92,0.402,11,38,0.289,22,29,0.759,15,30,45,26,5.0,9,17,30,-5.0
2018,1610612737,ATL,Atlanta Hawks,0021800149,2018-11-06,ATL @ CHA,L,239,102,41,85,0.482,6,30,0.2,14,18,0.778,7,30,37,22,13.0,9,22,18,-11.0
2018,1610612737,ATL,Atlanta Hawks,0021800128,2018-11-03,ATL vs. MIA,W,239,123,46,88,0.523,13,32,0.406,18,23,0.783,8,29,37,33,11.0,7,16,21,5.0
2018,1610612737,ATL,Atlanta Hawks,0021800114,2018-11-01,ATL vs. SAC,L,239,115,42,87,0.483,8,31,0.258,23,34,0.676,10,33,43,26,6.0,6,22,28,-31.0
2018,1610612737,ATL,Atlanta Hawks,0021800097,2018-10-30,ATL @ CLE,L,240,114,44,82,0.537,15,35,0.429,11,17,0.647,6,33,39,25,6.0,8,22,29,-22.0
2018,1610612737,ATL,Atlanta Hawks,0021800088,2018-10-29,ATL @ PHI,L,240,92,35,94,0.372,8,37,0.216,14,21,0.667,10,37,47,20,10.0,3,13,18,-21.0
2018,1610612737,ATL,Atlanta Hawks,0021800076,2018-10-27,ATL vs. CHI,L,241,85,27,84,0.321,12,40,0.3,19,23,0.826,11,37,48,20,9.0,8,22,13,-12.0
2018,1610612737,ATL,Atlanta Hawks,0021800052,2018-10-24,ATL vs. DAL,W,241,111,37,91,0.407,15,38,0.395,22,31,0.71,10,44,54,28,6.0,6,15,26,7.0
2018,1610612737,ATL,Atlanta Hawks,0021800036,2018-10-21,ATL @ CLE,W,240,133,48,98,0.49,22,47,0.468,15,19,0.789,9,35,44,32,9.0,7,12,21,22.0
2018,1610612737,ATL,Atlanta Hawks,0021800020,2018-10-19,ATL @ MEM,L,238,117,41,83,0.494,14,30,0.467,21,36,0.583,11,29,40,27,9.0,5,19,31,-14.0
2018,1610612737,ATL,Atlanta Hawks,0021800007,2018-10-17,ATL @ NYK,L,239,107,41,90,0.456,10,36,0.278,15,18,0.833,7,38,45,19,7.0,3,24,30,-19.0
2018,1610612737,ATL,Atlanta Hawks,0011800073,2018-10-12,ATL @ MIA,L,240,113,42,93,0.452,13,40,0.325,16,17,0.941,10,38,48,23,10.0,6,24,37,-6.0
2018,1610612737,ATL,Atlanta Hawks,0011800061,2018-10-10,ATL vs. SAS,W,239,130,49,84,0.583,14,34,0.412,18,25,0.72,9,29,38,25,8.0,5,14,23,3.0
2018,1610612737,ATL,Atlanta Hawks,0011800043,2018-10-07,ATL @ OKC,L,242,94,30,79,0.38,12,39,0.308,22,32,0.688,10,28,38,18,10.0,4,26,33,-19.0
2018,1610612737,ATL,Atlanta Hawks,0011800033,2018-10-05,ATL @ MEM,L,239,110,37,84,0.44,16,43,0.372,20,32,0.625,10,36,46,22,14.0,4,24,36,-10.0
2018,1610612737,ATL,Atlanta Hawks,0011800014,2018-10-01,ATL vs. NOP,W,239,116,48,105,0.457,8,33,0.242,12,18,0.667,10,44,54,32,7.0,12,16,28,14.0
2018,1610612737,ATL,Atlanta Hawks,1521800069,2018-07-13,ATL @ LAC,W,200,97,35,77,0.455,8,20,0.4,19,25,0.76,19,27,46,11,6.0,7,17,15,2.0
2018,1610612737,ATL,Atlanta Hawks,1521800061,2018-07-12,ATL @ POR,L,200,69,24,72,0.333,9,26,0.346,12,14,0.857,4,28,32,14,9.0,4,17,11,-21.8
2018,1610612737,ATL,Atlanta Hawks,1521800051,2018-07-11,ATL @ IND,W,200,107,40,73,0.548,11,28,0.393,16,22,0.727,7,38,45,20,10.0,4,21,18,-7.6
2018,1610612737,ATL,Atlanta Hawks,1521800043,2018-07-10,ATL @ CHI,W,199,101,36,80,0.45,14,35,0.4,15,23,0.652,11,27,38,15,7.0,1,9,25,6.0
2018,1610612737,ATL,Atlanta Hawks,1521800024,2018-07-08,ATL vs. POR,L,198,68,28,84,0.333,4,28,0.143,8,13,0.615,9,34,43,18,11.0,7,15,17,-17.0
2018,1610612737,ATL,Atlanta Hawks,1521800014,2018-07-07,ATL vs. NYK,L,200,89,32,84,0.381,12,40,0.3,13,22,0.591,16,35,51,22,7.0,5,16,29,-6.0
2018,1610612737,ATL,Atlanta Hawks,1621800006,2018-07-05,ATL @ UTA,L,201,87,30,86,0.349,10,34,0.294,17,26,0.654,15,33,48,16,11.0,5,17,25,2.2
2018,1610612737,ATL,Atlanta Hawks,1621800003,2018-07-03,ATL vs. SAS,L,200,81,31,90,0.344,7,33,0.212,12,22,0.545,14,29,43,12,9.0,2,12,25,-26.2
2018,1610612737,ATL,Atlanta Hawks,1621800001,2018-07-02,ATL @ MEM,L,197,88,31,82,0.378,9,40,0.225,17,22,0.773,15,25,40,15,9.0,4,12,20,-15.0
2017,1610612737,ATL,Atlanta Hawks,0021701214,2018-04-10,ATL vs. PHI,L,240,113,41,98,0.418,13,37,0.351,18,26,0.692,8,31,39,27,10.0,3,10,24,-8.0
2017,1610612737,ATL,Atlanta Hawks,0021701202,2018-04-08,ATL @ BOS,W,239,112,43,86,0.5,15,35,0.429,11,14,0.786,5,32,37,23,7.0,4,13,19,6.0
2017,1610612737,ATL,Atlanta Hawks,0021701184,2018-04-06,ATL @ WAS,W,239,103,38,79,0.481,11,33,0.333,16,23,0.696,7,43,50,24,5.0,5,18,22,6.0
2017,1610612737,ATL,Atlanta Hawks,0021701172,2018-04-04,ATL vs. MIA,L,239,86,33,90,0.367,9,30,0.3,11,17,0.647,10,38,48,20,5.0,6,15,16,-29.0
2017,1610612737,ATL,Atlanta Hawks,0021701158,2018-04-03,ATL @ MIA,L,240,98,37,88,0.42,13,33,0.394,11,15,0.733,12,37,49,24,10.0,1,15,15,-3.0
2017,1610612737,ATL,Atlanta Hawks,0021701147,2018-04-01,ATL vs. ORL,W,241,94,41,85,0.482,11,36,0.306,1,1,1.0,5,47,52,33,0.0,3,14,15,6.0
2017,1610612737,ATL,Atlanta Hawks,0021701130,2018-03-30,ATL vs. PHI,L,239,91,36,101,0.356,9,39,0.231,10,15,0.667,15,44,59,24,9.0,4,16,14,-10.0
2017,1610612737,ATL,Atlanta Hawks,0021701120,2018-03-28,ATL @ MIN,L,239,114,41,77,0.532,13,27,0.481,19,23,0.826,4,33,37,26,10.0,2,19,22,-6.0
2017,1610612737,ATL,Atlanta Hawks,0021701101,2018-03-25,ATL @ HOU,L,239,99,39,88,0.443,11,40,0.275,10,11,0.909,7,38,45,18,5.0,2,13,14,-19.0
2017,1610612737,ATL,Atlanta Hawks,0021701087,2018-03-23,ATL @ GSW,L,241,94,37,84,0.44,11,32,0.344,9,20,0.45,5,39,44,24,5.0,5,11,14,-12.0
2017,1610612737,ATL,Atlanta Hawks,0021701077,2018-03-22,ATL @ SAC,L,239,90,33,84,0.393,12,36,0.333,12,18,0.667,6,34,40,19,7.0,2,12,10,-15.0
2017,1610612737,ATL,Atlanta Hawks,0021701062,2018-03-20,ATL @ UTA,W,241,99,38,94,0.404,9,33,0.273,14,19,0.737,11,41,52,21,7.0,3,13,23,5.0
2017,1610612737,ATL,Atlanta Hawks,0021701041,2018-03-17,ATL @ MIL,L,240,117,39,85,0.459,12,36,0.333,27,28,0.964,8,36,44,23,7.0,4,19,25,-5.0
2017,1610612737,ATL,Atlanta Hawks,0021701021,2018-03-15,ATL vs. CHA,L,242,117,42,90,0.467,16,36,0.444,17,26,0.654,6,40,46,30,5.0,2,11,27,-12.0
